index,descriptors,area/point,core/prop,tags
966d3187-6bc8-4ec1-882c-64ac9f3a657b,parking space|parking spot|parking|parking area|Parking lot|parking zone|parking aisle|street side parking|parking slot|parking place|parking stall|accessible parking space,area,core,"amenity=parking, amenity=motorcycle_parking, amenity=parking_space, highway=service AND service=parking_aisle, parking=***any***"
501ab0f7-1860-473c-8f88-7d1c1ba19e10,parking complex|multi-story parking facility|parking entrance|car park|Multi-storey car park|underground parking garage|car storage facility|garage|Parking Garage|Vehicle Shed|Car Storage|Motor Storage Unit|carport|parking shelter|vehicle port|covered parking area|car pavillion|subsurface car park,area,core,"amenity=parking_entrance, parking=underground, parking=multi-storey, building=parking, landuse=garages, building=garage, building=garages, building=carport"
65561be1-0cbd-4e12-af21-a23d2bff1722,taxi|taxi stand|cab|cab stand|taxi rank|car taxi|motor taxi|taxi service|taxi cab|car cab|taxi pickup|taxi queue|metered taxi|radio taxi|taxi station,area,core,"amenity=taxi, amenity=taxi AND taxi_vehicle=motorcar"
b15ddb98-b332-44b5-b10f-eed3ab121f36,atm|bancomat|cash point|cash machine|cash dispenser|bank machine,point,core,"amenity=atm, amenity=payment_terminal"
f28767e3-dd32-460f-b475-8b585d06ef86,cambio|bank|credit union|financial institution|savings and loan association|money lender|treasury|money transfer|wire transfer office|Western Union|MoneyGram|cash transfer|international money transfer|remittance office|money wiring service,point,core,"amenity=bank, amenity=bureau_de_change, amenity=money_transfer"
abdc1c7b-9383-4442-9b4a-e41aee39ff71,health centre|medical facility|clinic|medical center|polyclinic|healthcare facility|outpatient care,point,core,amenity=clinic
3e1f5128-35ca-4b18-8d6f-9f322486b267,dentist|dental practice|dental clinic|endodontist|tooth doctor|orthodontist|dental surgeon|dental care centre|orthodontics clinic|braces dentist,point,core,"amenity=dentist, healthcare=dentist"
c3240bd0-d53b-4fea-a02a-80ac43c32797,doctor|doctor practice|medical practitioner|Physician|surgeo|Specialist|medic|doc|health professional|MD|medical doctor,point,core,amenity=doctors
ec09bc86-5132-46c6-9412-388efb14a194,hospital|hospital building|emergency room|healthcare center|health institution|medical institution|medical centre,area,core,"amenity=hospital, building=hospital"
eee6d05b-cae8-4a1d-9967-d40b5fe9370b,nursing home|elderly home|convalescent home|convalescent hospital|retirement home|elder care facility|old folks home|old peoples home|assisted living facility|rest home,area,core,"amenity=nursing_home, social_facility=nursing_home, social_facility:for=senior, social_facility=group_home, social_facility=assisted_living, social_facility=ambulatory_care"
a3f10fb5-d5f1-4238-99c1-e9b5132cddfa,pharmacy|drugstore|apothecary|dispensary|chemist|pharmaceutical shop|medicine store|prescription drug store|pharmaceutical dispensary,point,core,"amenity=pharmacy, shop=chemist, shop=drugstore"
ee2ca897-8070-4bed-9e90-180e4a65b68a,homeless shelter|social facility|social services|social amenities|social care location|community institution|social welfare|food bank|soup kitchen ,area,core,"amenity=social_facility, social_facility=shelter, social_facility:for=homeless, social_facility=food_bank"
65810d77-b71c-4ebe-a18f-afa0f1a63dab,veterinary|vet|veterinarian|animal doctor|horse doctor|veterinary surgeon,point,core,amenity=veterinary
9e550cbc-e367-4626-977b-f73baaf01453,brothel|whorehouse|bordello|cathouse|den of iniquity|house of prostitution|bagnio,point,core,"amenity=brothel, amenity=love_hotel, amenity=stripclub, amenity=swingerclub"
cf953f99-c73e-4f5c-9c06-c773846f61e1,casino|gambling establishment|gambling club|betting house|gambling|gambling den,area/point,core,"amenity=casino, amenity=gambling"
f4b656d7-78a1-419f-a4e0-aa7bba53e6d6,cinema|movie theater|movie house|cineplex|picture palace|bioscope|the pictures|the movies|film house|drive-in|nickelodeon,point,core,amenity=cinema
752b9898-7c2a-4430-8775-4fb95a8cd5e9,community centre|community center|rec center|recreation center|community hall|activity center|neighborhood center|cultural center|civic centre,area/point,core,"amenity=community_centre, amenity=social_centre, building=community_centre, social_facility=community_centre"
8cf3ac2f-2d0d-49e6-81c3-1d51d578b074,youth center|youth centre|youth club,,core,amenity=community_centre AND community_centre=youth_centre
beec6e65-3868-4ccf-b875-d18a1bb9ed33,conference centre|conference center|convention center|meeting venue|conference facility|symposium center|exhibition center|trade fair|trade fair center|congress center,area/point,core,"amenity=conference_centre, amenity=exhibition_centre, amenity=events_venue"
439c3647-5812-40b2-8e4a-29f4e01e0412,fountain|spring|fount|jet|spray|well|water well|water pump|water source|water faucet|water spigot|natural spring|water spring|freshwater spring|mountain spring|spring water source|groundwater spring|natural water source|springhead|spring emergence|natural seep|water seep|aquifer spring,point,core,"amenity=fountain, man_made=water_well, man_made=water_tap, natural=spring"
e9827f41-bb1d-481f-ba63-5a7485c85773,amphitheater|open air theatre|open air theater|outdoor amphitheater|outdoor theatre|open air stage|greek style theatre|roman style amphitheater|ancient style theater|open air performance venue|,area/point,core,amenity=theatre AND theatre:type=amphi
3dd7b88c-a48b-4184-b253-825288be5d48,music venue|music hall|concert hallstage|auditorium|outdoor concert venue|open air concert venue|music theatre|concert venue|live music venue,,,amenity=music_venue
d659b756-0265-492d-9da6-9dc042d582ff,social club|association|political club|social association|community club|local club,,core,club=social
7f61cd35-d744-4445-af8f-9ae546f9a0c1,clubhouse|club house,,core,building=clubhouse
d4cb989e-63e5-4873-a8b1-c3a733e7f18f,Sports club,,core,club=sport
9a80e160-8d41-4072-9cf0-7407facaa419,"freemasonry, masonic order, masonry, the craft, masonic fraternity, masonic brotherhood",,core,club=freemasonry
31265269-28ac-4261-9119-abf42115c16c,planetarium|astronomy center|celestial theater|astronomy theater|space observatory dome|star gazing hall|celestial dome|star theater,point,core,amenity=planetarium
bcad89de-2111-4336-970e-acb7320155d7,public bookcase|book repository|bookshelf|book cabinet|book display,point,core,amenity=public_bookcase
b4459e4d-8a05-4b74-973f-8abdd6873947,tv studio|radio studio|recording studio|production studio|sound studio|music studio|audio lab|broadcasting studio|news studio|film studio|radio broadcast studio|fm radio studio|am radio studio|community radio studio|local radio studio|campus radio studio|public radio studio|video studio|video production studio|video recording studio|film production studio|movie production studio|film shooting studio|video shoot location|video recording facility|film set studio|video content studio|television studio|broadcast tv studio|television news studio|tv broadcast studio|television production studio|tv channel studio|tv station studio|television recording studio|television broadcast facility|audio studio|audio recording studio|audio production studio|audio mixing studio|sound recording studio|music recording studio|music production studio|voice recording studio|podcast recording studio|podcast studio|sound design studio|audio post production studio,point,core,amenity=studio
1a0a4a72-cb18-4f57-bcd2-9119b950a63f,theatre|theatre house|opera|opera house|theater|arts center|performing arts center|playhouse|cultural club|culture club,area,core,"amenity=theatre, amenity=arts_centre, club=culture"
01e3e3ae-8a0f-4ee6-b22f-3325284bba0d,courthouse|court of law|court|tribunal|justice building|courtroom|judicial center|legal center,area,core,amenity=courthouse
0fc0717a-6f08-4b39-bc49-8ba1a38206a8,fire station|fire brigade station|firehouse|fire department|fire brigade,area,core,"amenity=fire_station, building=fire_station"
f8aa4935-47f1-477c-8196-252667840551,police station|police headquarters|cop shop|law enforcement center|police post|police precinct|station house,area,core,amenity=police
526f910f-2bbc-4006-b217-63b6ad2e3eca,post box|letter box|mailbox|maildrop|pillar box|parcel drop box|mailing container|letterbox,point,core,"amenity=post_box, amenity=letter_box"
22532ee7-9ee7-4cd1-b787-43dac37afe04,post office|general post office|postal service|postal station|post office box,area,core,"amenity=post_office, amenity=mailroom, amenity=post_depot, amenity=parcel_locker"
c976e041-5a8a-4ca0-90f7-9033ecca44c7,prison|jail|penitentiary|lockup|brig|slammer|bastille|penitentiary institution|correctional facility|detention center,area,core,amenity=prison
6e563ec9-606a-4d03-836a-d3f8209629fe,ranger station|National Park visitor headquarters|park visitor facility|forestry station|national park visitor center|national park information center,area,core,amenity=ranger_station
9bd00072-ba55-4063-a3de-7bff14bac666,townhall|cityhall|town house|city government|municipal center,area,core,"amenity=townhall, building=public"
766f0a39-787a-432b-b6d6-cb5297a38f43,barbeque|barbie|public bbq|bbq|public grill|public outdoor grill|public outdoor coocking station|outdoor barbeque|cookout,point,core,amenity=bbq
5cbc86c5-ff8d-41eb-a407-8470c0c134bd,bench|public bench|park bench|outdoor bench|street bench|public seating|lounger|public lounger| public sun lounger|sun lounger|deck chair|pool lounger|beach lounger|reclining chair|recliner seat|public seating|outdoor lounger|relax chair|lounger seat,point,core,"amenity=bench, amenity=lounger"
3f966e08-cbfa-45ce-9895-3359b64fb35d,shower|public shower|communal shower|open shower|shower room,point,core,amenity=shower
b7977cd8-f9c8-48d4-bbd4-d82b72c96142,public telephone|telephone| phone booth|coin phone|pay phone|public telephone booth|public phone,point,core,amenity=telephone
598e9725-7517-4127-ba82-bd84ba6b9998,public toilet|toilet building|public bathroom|lavatory|restroom|toilet facility|washroom|sanitary facility|public loo|public WC|Dixi|portable toilet|porta potty|porta john|chemical toilet|portable restroom|portable bathroom|temporary toilets|event toilets|portable loo|portable WC|pit latrine|pit toilet|long drop toilet|outhouse toilet|privy toilet|basic pit latrine|simple pit toilet|rural pit latrine|outdoor pit toilet|hole in the ground toilet|flush toilet|flush toilets|flush bathroom|flush restroom|indoor toilet|modern toilet|modern restroom|indoor bathroom|indoor public toilet|indoor public restroom,area,core,"amenity=toilets, building=toilets, toilets=yes, building=public_toilet"
2991f8b6-b0ff-4061-bf19-851386952af3,water point|tapping point|source of water|water connection|hydration station|drinking water outlet|water dispenser|drinking fountain|water supply point|hydration hub|drinking water|bubbler|water fountain|public fountain,point,core,"amenity=water_point, amenity=watering_place, emergency=drinking_water, amenity=drinking_water"
387b84cc-5337-4051-a4f1-970c14bcde87,recycling facility|recycling center|waste management station|resource recovery center|garbage disposal facility|waste treatment center|recycling plant|recycling centre|municipal recycling center|household recycling center|public recycling drop off|recycling drop off center|bottle and can recycling center|glass and plastic recycling center|community recycling facility|city recycling depot|waste sorting center|recycling station|recycling yard|recycling collection point|recycling depot,area,core,"amenity=recycling, amenity=sanitary_dump_station, amenity=waste_transfer_station"
cd588a03-c8d2-43e6-86f0-becf3fdb563d,waste basket|garbage deposit|trash bin|public bin|public trash can|litter basket|garbage pail|waste collection cabinet|private waste cabinet|trash collection cabinet|garbage collection cabinet,,core,"amenity=waste_basket, man_made=street_cabinet AND street_cabinet=waste, bin=yes"
9083d438-b890-409a-b80f-ef388927fbde,animal shelter|anaimal rescue center|animal refuge|pet adoption center|animal care center,area,core,"amenity=animal_shelter, amenity=animal_boarding, amenity=animal_breeding, amenity=animal_training"
bdfa99be-d4ba-4df3-a1d1-c27df9533c19,childcare center|daycare center|daycare|nursery|preschool|kindergarten|crèche|infant school|childcare facility,area,core,"amenity=childcare, amenity=kindergarten, building=kindergarten"
98c402f3-820e-4f93-830d-7262cb3411c5,public clock|town clock|street clock|clock tower|urban clock|city clock,,core,amenity=clock
b6feb6e5-a389-44c7-8947-fdb4f4fa7be4,dive centre| scuba center| diving center| dive school| dive club| dive shop,area,core,amenity=dive_centre
2b4f0d68-8dec-4012-b5f8-4d968b7ad5d3,cemetery|burial ground| catacomb| memorial park| tomb|grave yard|mausoleum,area,core,"amenity=grave_yard, amenity=crematorium, amenity=funeral_hall, amenity=place_of_mourning, landuse=cemetery, historic=tomb, cemetery=***any***"
9e1c2fa9-1cb4-4d80-a9ba-09331333b0cc,hunting stand|shooting house|shooting platform|deer stand|hunting blind|elevated hide|observation stand|tree stand|game lookout|wildlife perch,,core,amenity=hunting_stand
f23d3fcb-c19c-46cc-b770-a5fbddb126cb,internet cafe|cyber cafe|internet bar|web cafe|cybercenter|online cafe|internet shop|online access center|wi-fi lounge|digital cafe|computer lounge|tech cafe,,core,amenity=internet_cafe
1a8e0313-7ff2-4672-b4e6-30ab27600941,marketplace|bazaar|trading center|trading hub|market square,area,core,amenity=marketplace
7c47b419-08d7-4bcd-b3f2-0873dc2f67de,cloister|presbytery|monastery|abbey|clergy house|home for priests|friary|priory|religious retreat|convent|spiritual sanctuary,area,core,"amenity=monastery, building=monastery, historic=monastery, building=presbytery"
7d3ce274-e2af-485b-aad4-8d82bf4bb045,public bath|onsen|hot spring|bathhouse|spa|sauna|baths|sweat room|heat bath|wellness|steam room|communal bathing facility|thermal bath|hammam|geothermal pools|thermal springs|geothermal spa|natural thermal pool|bathing place|bathing spot|swim spot|wild swimming|hot tub|jacuzzi|outdoor hot tub|indoor hot tub|whirlpool bath|spa hot tub|jacuzzi tub|hot tub area|hotel hot tub|private hot tub,area,core,"amenity=public_bath, natural=hot_spring, leisure=sauna, leisure=bathing_place, leisure=hot_tub"
549f4ad2-2406-44f7-a856-5e954b401c57,refugee site| refugee camp| refugee center|refugee centre| refugee settlement| refugee shelter| displaced persons camp,area,core,"amenity=refugee_site, amenity=refugee_housing, "
651cf048-fd4a-4042-a0e7-363201c428cf,vending machine|automat|dispenser|coin machine|automated dispenser|product vending unit|self-service kiosk,,core,amenity=vending_machine
6e757709-4d9b-4bc6-ae44-5c25b6fd5887,city wall|town wall|bounday wall|rampart|heritage wall|Citadel enclosure|ancient fortification,,core,"barrier=city_wall, historic=citywalls"
5a1842d2-9cca-4a38-abc8-8d69d5bf4993,fence|blockade|barrier|pallisade|perimeter|enclosure,way,core,"barrier=fence, barrier=hedge"
b777e5fb-15d3-404a-b7d9-a09ebd293cd3,handrail|public handrail|balustrade|rail|handle|grip rail,,core,barrier=handrail
25c826ce-7e05-47ca-ab65-f94e0d7dd2e9,kerb stone|kerb|sidewalk edge|curb|low curb| raised curb|high curb|flushed curb|flush curb|rolled curb|gutter|curb ramp|pram ramp,,core,barrier=kerb
353147f3-731d-4f4b-b222-f5645c890e90,wall|retaining wall|retaining structure,,core,"barrier=wall, barrier=retaining_wall"
92b3be6e-d996-4d67-b80b-d1bb3a76510b,bollard| block barrier|jersey barrier|concrete barrier|median barrier|highway barrier,,core,"barrier=bollard, barrier=block, barrier=jersey_barrier"
0ef4dd1f-69f8-4927-92ca-f62d6cf076df,customs|border check|border control| border security| border patrol| border inspection| border management,area,core,barrier=border_control
e6f74c10-95ec-4199-a750-0d65cf5a3c33,cattle grid|cattle guard|livestock grid|stock grate|livestock barrier|cattle barrier|rgrated barrier,,core,barrier=cattle_grid
9f665da1-423a-4496-879c-401a4fd0520f,drive-through gate|swinging vehicle gate|ranch gate|self-closing vehicle gate|push-open gate|wire bump gate|rural vehicle barrier|farm bump gate,,core,barrier=bump_gate
aee0bbfd-50db-4555-83c8-71d98ef8670e,chain barrier|chain gate,,core,"barrier=chain, barrier=rope"
f0969898-0ace-43f9-97cd-df9c068b3792,cycle barrier|bike barrier|cycle gate|bicycle barrier|cycle safety rail|cycle lane obstruction|cyclist safety gate,,core,barrier=cycle_barrier
3bef51e1-fa19-4d14-b230-a9e9b1e4f6a4,gate|barrier portal|gateway|barrier entryway|barrier gate|fence gate|fence entry|fence entry point,,core,"barrier=gate, barrier=entrance, barrier=stile, barrier=hampshire_gate, barrier=kissing_gate, barrier=bump_gate"
26ec473c-ca49-4755-98a3-3466e35fb553,height restrictor|height barrier|height limiter|clearance barrier|overheight barrier|height control gate|overhead restrictor|height limitation bar|vehicle height barrier,,core,barrier=height_restrictor
8aaa2504-0b19-4b85-904e-78bff29f8dee,lift gate|cargo door|loading gate|rear access gate|lift platform|loading ramp|tailgate,,core,barrier=lift_gate
38e8479a-3ddf-42fc-ba66-d91ba95db51b,toll booth| tollgate|toll gantry| transponder toll|Toll|electronic toll|free-flow toll,area,core,"barrier=toll_booth, highway=toll_gantry"
b9b5fc57-0411-43e7-91e1-a6f6d82c722c,turnstile|revolving door|full height turnstile|swing gate|full height security turnstile|prison turnstile|stadium turnstile|industrial turnstile|secure access turnstile|high security turnstile|metal cage turnstile|rotating security gate|full height access gate,,core,"barrier=turnstile, barrier=swing_gate, barrier=full-height_turnstile"
f448944d-b33e-4be3-9a2d-0d5e5cfa1c92,boundary marker|border stone|boundary post,,core,"boundary=marker, historic=boundary_stone"
ab6976e5-2337-4761-b051-7fbbfb32be77,protected area|marine protection|national park|wilderness,area,core,"boundary=protected_area, boundary=national_park"
386a155f-2f6a-445c-b5da-c4d69d563b29,houseboat|riverboat|floating home|liveaboard vessel|canal boat|river home|residential barge,,core,building=houseboat
c0d9c567-ddae-4930-b8ee-5dabf246b251,residential building|apartment building|residence|tenement|block of flats|residential dwelling|flatresidential house,area,core,"building=residential, building=semidetached_house, building=apartments, residential=apartments"
d0d8b35c-771e-4632-aafd-a5894a2ea440,static caravan|mobile home|trailer home|travel trailer|house trailer|caravan|trailer park|mobile home park|parking lot for campers|caravan site|parking area for motorhomes|RV Park|Camper Ground|Motorhome Site|Trailer Park|Caravan Park|campsite|camping area|camp ground|camping|backpacking site|camp pitch,,core,"building=static_caravan, residential=trailer_park, tourism=camp_site, tourism=camp_pitch, tourism=caravan_site"
e928f35b-363f-48b7-b947-3d67112edde5,terrace|row house|townhouse|terraced house|cluster house|home|linked house|house|detached house,,core,"building=terrace, building=house, building=detached"
e1ff0bb6-3701-4df3-8733-3acd16032666,kiosk|convenience store|news stand|stall|convenience shop|7/11 I cigarette shop,,core,"building=kiosk, shop=kiosk, shop=convenience, shop=cigarette"
e77a4014-a218-441f-91ed-b00d76371fa6,office building|business center|office block|corporate building|offices|business park|company office|corporate office|office,area,core,"building=office, office=company, office=*"
e730cb26-cb89-4c7e-9f1b-b387211980a8,warehouse|depot|storage facility|repository|stockroom|storehouse|distribution center|logistics center,area,core,building=warehouse
aae7952b-8d62-4fee-b5a6-3784aa7c47d8,cathedral|sanctuary|Basilica|Abbey Church,area,core,building=cathedral
eaa794ee-3783-446d-8c91-6eeb2e48a4e8,chapel|side chapel|chantry chapel,,core,building=chapel
d879d15f-ef2c-4c5b-95d3-9dd1fadb8594,church|minster|house of prayer,area,core,"building=church, historic=church"
4e091e4d-6192-45de-b402-daa0b47b5d77,religious building|religious center,area,core,building=religious
bcf3c56d-2d50-4fe5-855b-420b4bdf2596,shrine|wayside shrine|altar|reliquary,area,core,"building=shrine, historic=wayside_shrine"
d0b0ea68-7946-4d1a-9829-27c309a852ea,temple,area,core,building=temple
4465904b-7f37-4c0c-a742-805eba72b10b,civic building|civic center,area,core,building=civic
f544a49a-8e41-41bc-a611-6f08f2441950,barn|hayloft|livestock shelter|cow barn|cowshed|farm auxiliary|support barn|farm service building|utility farm building|slurry|slurry tank|stable|horse stable|paddock|pig shed|sty|pigsty|hog barn|swine shelter|swine house|Rural Utility Building|Farm Auxiliary Structure,area,core,"building=barn, building=cowshed, building=farm_auxiliary, building=stable, building=slurry_tank, man_made=storage_tank AND content=slurry, building=farm_auxiliary, building=stable, building=sty"
cb8145b9-d131-4731-83da-1ac09cbaaf77,grandstand|stadium seating|spectator seating|bleachers|bleacher seating|sports bleachers|stadium bleachers|metal bleachers|outdoor bleachers|sports stands|spectator stands|football stands|soccer stands|school bleachers|high school bleachers,area,core,"building=grandstand, leisure=bleachers"
42d62977-31c4-49a1-bbd2-f876f9429237,hut|shed|wilderness hut|shack|lodge|bivouac shelter|shelter|cabin|roughly built house|allotment house|Wilderness Shelter|Garden House|Allotment Cabin|Rustic Lodge|Timber Shelter|Remote Shelter|Countryside Cabin|isolated dwelling|isolated house,,core,"building=hut, building=shed, tourism=wilderness_hut, building=cabin, building=allotment_house, tourism=alpine_hut, place=isolated_dwelling"
68b549db-8c04-4ed6-9a7e-76a0781ae606,digester|biogas production|fermenter|bio-reactor|anaerobic chamber|biogas generator,,core,building=digester
07359cf8-a646-4322-8ff9-70ccaf2bd78d,service building|utility building|maintenance building,,core,building=service
0d6fd5fb-d1b6-438c-baa2-35ef18f01177,silo|storage tower|granary|hopper|Storage Tank|Liquid Holding Tank|Industrial Container,,core,"building=silo, building=storage_tank, man_made=silo, man_made=bunker_silo, man_made=storage_tank"
204ba6c6-cb75-4ec0-9c4d-cc4d002862ee,beach hut|beachside shack|beach shelter|tiki hut|sandside cottage|shore shelter,,core,building=beach_hut
56ee3383-4b41-41c4-8f5c-35d96484a941,castle|historic fort|castle wall|fort|castle tower|château|palace|fortress,area,core,"building=castle, historic=castle, historic=castle_wall, historic=fort, man_made=tower AND tower:type=defensive"
389f1360-6197-4985-b248-6d952b2a7a5b,building under construction|unfinished building|partial structure,area,core,building=construction
52f80205-e80f-4f97-b1a6-a3f001021f0d,container|living container|shipping container home|industrial unit|stacked container architecture,,core,building=container
ebd7a925-8769-44f8-8099-353576c2bcd6,pergola|canopy|free standing patio|rain shelter|pavilion|bandstand|concert gazebo|music pavillon|outdoor stage|performance shelter|lean-to shelter|backcountry lean-to|trail shelter|hiking shelter,,core,"building=roof, amenity=shelter, building=pavilion, leisure=bandstand"
8c6951f9-b274-46b1-b61a-37ba442422ac,ruins|demolished building|derelict building|abandoned structure,area,core,"building=ruins, demolished:building=***any***, historic=ruins"
fd88f1a5-69b7-4c5f-a7fd-a8f53fc681ab,tent|permanent tent|camping shelter|tepee|tipi,,core,building=tent
22b76d4b-00ae-467e-9d29-2fe758d6fbaf,levels|building levels|floors|storeys|stories|tiers|decks|etage,,prop,building:levels=***numeric***
5ba85e65-41a9-4a3b-9927-61db7878b799,construction material|fabrication material|Material|Construction Material|Surface Material|Building Material,,prop,"building:material=***example***, material=***example***"
82c3b898-2d3a-4387-a9e8-74690a636a58,height,,prop,height=***numeric***
d6a52ea0-ccad-4a12-9617-4fbf34ff2b68,ambulance station|medical dispatch center|paramedic hub|rescue facility,area,core,emergency=ambulance_station
4b732c97-4fed-48d8-a62c-eacf922396a6,defibrillator|heart starter|cardiac device|AED|cardiac resuscitator|pulse generator|emergency cardiac aid,,core,emergency=defibrillator
977fb525-a738-4880-a663-883a8b25e1b1,landing site|emergency airstrip|emergency landing area|emergency landing site,area,core,emergency=landing_site
